UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,keyword
Amiruddin,@akuadin,2021-04-13T11:42:46.000Z,"Buka puasa pake 1 kurma, batagor, nasi pepes ikan+pepes tahu, 1 bolen.Ga berlebihan kan? ",,😜,,,,[],https://twitter.com/akuadin/status/1381935890587545601,kurma
May,@maynadhira,2021-04-13T08:32:42.000Z,Susu kurma sounds good buat hamba yg kalo sahur males makan tapi kalo buka membabi buta ijo,,💛,1.0,,,[],https://twitter.com/maynadhira/status/1381888060434997249,kurma
dr. Andi Khomeini Takdir,@dr_koko28,2021-04-13T12:36:55.000Z,Menu berbuka dan sahur kami di rumah : air putih/teh manis/air kelapa + kurma (atau buah-buahan lainnya) + telur (direbus) + ikan (jika sempat mengolah) + vitamin D 400-1000 IU (mana yang tersedia).,,,12.0,28.0,172.0,[],https://twitter.com/dr_koko28/status/1381949517939937281,kurma
reihan putri,@reiiputt,2021-04-13T09:44:00.000Z,"Baru ngebatin td siang, duh sedih bgt hari pertama puasa ga ada kurma, krn kelupaan jd baru check out order kmrn malem gatau kpn sampenya, tiba2 ada yg nganterin kurma, Alhamdulillah masya Allah ",,😍,,,1.0,[],https://twitter.com/reiiputt/status/1381906004892217350,kurma
beckywahyuni,@beckywahyuni1,2021-04-13T11:03:12.000Z,Alhamdulillah... buka puasa hari pertama bersama Tristan. Air putih dan kurma. Itu dulu ya....,,,,,,[],https://twitter.com/beckywahyuni1/status/1381925933737668610,kurma
Anosa Wibasaputra,@Anosa13,2021-04-13T05:14:37.000Z,Kangen dikasih sekotak kurma sama kantor.,,,,,,[],https://twitter.com/Anosa13/status/1381838210725081088,kurma
FabulousMommy,@FebryMeuthia,2021-04-13T11:24:10.000Z,"Berbuka puasa bersama keluarga di hari pertama Ramadhan, selain kurma, makanan lainnya standard aja, lontong, gorengan, pastel. Kebetulan barusan ada kiriman kue dan anak lanang bawa wingko dari Semarang #MajuTerusBersamaIndiHome",,,3.0,1.0,7.0,['https://pbs.twimg.com/media/Ey2bHI_VIAEKnpF?format=jpg&name=small'],https://twitter.com/FebryMeuthia/status/1381931210499223553,kurma
نونجكي أناندا بوتري,@nungkyananda21,2021-04-13T15:48:53.000Z,Bismillah makan kurma dan susu saat saur nanti . Biar ingat rasullah @vina_asy @lisanurmala2,,,,,4.0,['https://pbs.twimg.com/media/Ey3Xs5GVEAAhF3F?format=jpg&name=small'],https://twitter.com/nungkyananda21/status/1381997830403883008,kurma
,@aillemayhat,2021-04-13T08:10:55.000Z,Tar sore enak nya jajan es kelapa atau es buah ya,,🍝,,,,[],https://twitter.com/aillemayhat/status/1381882579037560833,es buah
Lily_hyme,@Lilyli01,2021-04-13T10:20:16.000Z,"Gk ikut puasa .. Tapi ikut beli kolek, gorengan, es buah .. Ngabuburit judulnya .. ",,😂,,,,[],https://twitter.com/Lilyli01/status/1381915131769065474,es buah
pengangguran tapi banyak duitnya,@zulvanhaidar,2021-04-13T05:08:40.000Z,ES BUAH,,,1.0,,,[],https://twitter.com/zulvanhaidar/status/1381836711982821378,es buah
marli,@lilbitnastyy,2021-04-13T11:09:22.000Z,Nyari kang es buah kaya nyari jodoh susah amat ,,😭,4.0,,2.0,[],https://twitter.com/lilbitnastyy/status/1381927486276075521,es buah
Lemon Tea,@christian239_,2021-04-13T11:21:25.000Z,Yang buka puasanya pake Gorengan Ngaceng .. ehh ngacung,,🍋 🤭 🤭,3.0,1.0,57.0,['https://pbs.twimg.com/media/Ey2aegzVcAAGuFD?format=jpg&name=small'],https://twitter.com/christian239_/status/1381930517919014914,gorengan
-,@wulsap,2021-04-13T11:15:07.000Z,tak kuasa untuk tidak buka pake gorengan celup sambel kacang. yauda sahur ajadeh pake buah potong,,😫 😫 😫,,,,[],https://twitter.com/wulsap/status/1381928935550685192,gorengan
Pai Laodeh,@pailaodeh,2021-04-13T11:56:13.000Z,"Seminggu gada lari selama di Lombok gegara abis vaksin. Dan yang biasanya lari pagi, sebulan ini bakal lari sore.. Kurangi gula dan gorengan pas buka puasa yaaa..",,,,,,"['https://pbs.twimg.com/media/Ey2iaU5UcAAVMYf?format=jpg&name=small', 'https://pbs.twimg.com/media/Ey2iaU6U4AQI9oM?format=jpg&name=360x360']",https://twitter.com/pailaodeh/status/1381939275915165701,gorengan
dr. Andi Khomeini Takdir,@dr_koko28,2021-04-13T22:28:53.000Z,"Vaksin J&J ditunda terkait kekhawatiran memicu “blood clot”.Me : tolong hindari asap rokok, kurangi gorengan dan gula, jangan mageran, dan minumlah vitamin D kalian, fellow American.",,,5.0,18.0,117.0,[],https://twitter.com/dr_koko28/status/1382098494345801728,gorengan
Sambil menyelam minum jasjus,@skuyreysz,2021-04-13T11:54:41.000Z,"Untuk akang yang jual gorengan tapi buru2 diangkat karna pembeli udah ngantri. ELU GILA. TEPUNGNYA MASIH NYISA, iya kalo pakenya segitiga biru, kalo pakenya tigaroda?","Quote TweetJAKMANIA BANDUNG@jakmaniabandung · Apr 13Dear akang penjual sop buah yang isi es batunya lebih banyakk dari pada buahnya, ngadu maen Tekken aja yokk.",,2.0,,,['https://pbs.twimg.com/profile_images/719551530886520832/2OnND8-K_mini.jpg'],https://twitter.com/skuyreysz/status/1381938890047549440,gorengan
라치보라라,@nftrian,2021-04-13T09:32:59.000Z,GILAAK EMAK GUE BIKIN GORENGAN WANGI BANGET. PADAHAL NIATNYA BUKA PUASA CUMA MAU MINUM AER PUTIH SAMA MAKAN PROTEIN WOY.,,,1.0,,,[],https://twitter.com/nftrian/status/1381903232742551557,gorengan
FabulousMommy,@FebryMeuthia,2021-04-13T11:24:10.000Z,"Berbuka puasa bersama keluarga di hari pertama Ramadhan, selain kurma, makanan lainnya standard aja, lontong, gorengan, pastel. Kebetulan barusan ada kiriman kue dan anak lanang bawa wingko dari Semarang #MajuTerusBersamaIndiHome",,,3.0,1.0,7.0,['https://pbs.twimg.com/media/Ey2bHI_VIAEKnpF?format=jpg&name=small'],https://twitter.com/FebryMeuthia/status/1381931210499223553,gorengan
yank,@iyaankkkk,2021-04-13T11:09:35.000Z,emang udah jadi budaya indonesia ya buka puasa pake gorengan sama yang manis manis,,,1.0,,,[],https://twitter.com/iyaankkkk/status/1381927540374134785,gorengan
JANUARجنوار,@JANUARD_1,2021-04-13T08:38:38.000Z,"Romadon Kariim Tweep , Sharing info jualan makanan #Takjil #BuburSumsumKendil & #Kolak Pisang Ubi, dijamin #Fresh asli #rumahan, #enak harganya cuma #ceban   tweeps.#ramadanmubarakLokasi; teras #indomaret Setu Cipayung 3:https://maps.app.goo.gl/tX7bdyERW7xxPVA57…",,🙏 🤗,2.0,,1.0,"['https://pbs.twimg.com/media/Ey11LibU4AEPEd6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ey11NHyUcAIhJtO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ey11MTrUUAQBGq4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ey11N3KUYAYyc1L?format=jpg&name=360x360']",https://twitter.com/JANUARD_1/status/1381889555289149441,kolak
Choper,@tulisanmiring,2021-04-13T11:35:34.000Z,Alasan gw males makan kolak di bulan puasa Rasanya kebanyakan jahe wkwkwk,,,1.0,,,[],https://twitter.com/tulisanmiring/status/1381934081298984965,kolak
naa,@naamatchalatte,2021-04-13T11:04:42.000Z,Baru kali ini beli kolak enak banget banget banget huhuhu,,😭,,,,[],https://twitter.com/naamatchalatte/status/1381926312000905221,kolak
Perjalananakbar,@akbarnur_rahmat,2021-04-13T14:58:51.000Z,Nasi pecel kolaborasi Sama Kolak busett..  Wkwkwkw,,,,,,[],https://twitter.com/akbarnur_rahmat/status/1381985239816228874,kolak
Alpha Centauri,@kembangtaahu,2021-04-13T21:52:00.000Z,Udah puasa lagi aje perasaan baru sejam yang lalu makan kolak,,🌟 💫 🌟,,,,[],https://twitter.com/kembangtaahu/status/1382089211801600002,kolak
Tacipi,@AsbiansaAbi,2021-04-13T04:25:33.000Z,Iseng buat kolak pisang ubi buat dijual buka puasa.,,,,,,[],https://twitter.com/AsbiansaAbi/status/1381825862069186566,kolak
⟭⟬𝐀𝐌𝐈𝐄⟬⟭,@amie_licious,2021-04-13T11:00:17.000Z,kolak pisang ubi dan kolang kaling terbaaeeekkk untuk berbukaaaa~~~,,,,,,['https://pbs.twimg.com/media/Ey2VpDBVEAQLaDc?format=jpg&name=small'],https://twitter.com/amie_licious/status/1381925202775343106,kolak
Koala,@arahsenjaa,2021-04-13T11:12:11.000Z,Abis wo langsung buka. Pake es campur. Anjir mantulity. Kenikmatan hqq emng.,,,,,,['https://pbs.twimg.com/media/Ey2YXaaVIAEGqYs?format=jpg&name=medium'],https://twitter.com/arahsenjaa/status/1381928193666424833,es campur
,@auedemar,2021-04-13T04:13:30.000Z,Ya Allah panasnya minum es campur enak bgt ini,,,,,2.0,[],https://twitter.com/auedemar/status/1381822831026073602,es campur
Aldy,@musuh_kekasihmu,2021-04-13T10:16:17.000Z,"Hanya di bulan puasa biji salak menjadi lunak, subhanallah memang luar biasa bulan puasa.",,,3.0,,,['https://pbs.twimg.com/media/Ey2Lk75VIAAUho2?format=jpg&name=small'],https://twitter.com/musuh_kekasihmu/status/1381914129791770624,biji salak
Meli Engku,@MeliEngku,2021-04-13T08:28:55.000Z,"Pengen makan biji salak sama lontong diguyur sambel kacang plus bala2. Kalo bulan puasa dirumah bekasi byk jualan ini, ngangenin",,🤤 🤤,,,,[],https://twitter.com/MeliEngku/status/1381887108684476416,biji salak
#SiarannyaDINA,@dinajanidya,2021-04-13T09:30:14.000Z,Nyicipin duluan menu berbuka dirumah bu boss.... biji salak wkwkwkw,,🤤,,,,[],https://twitter.com/dinajanidya/status/1381902537721143300,biji salak
Iruma,@ifhsryngrm,2021-04-14T11:28:47.000Z,"kemaren buka puasa gak makan nasi, tapi kalap sama kurma kaiju",,,1.0,,,[],https://twitter.com/ifhsryngrm/status/1382294761600524290,kurma
priskaINA GO,@mpriiis,2021-04-14T11:36:41.000Z,selamat berbuka puasa ~~ yg doyan kurma cuman aku doang hahaha,,🧈 🥞 💛,2.0,,,"['https://pbs.twimg.com/media/Ey7nicRVEAQfFs9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ey7njocVkAIZvkH?format=jpg&name=360x360']",https://twitter.com/mpriiis/status/1382296747171467267,kurma
HHP 봄,@HidayatHHP,2021-04-14T12:51:33.000Z,Tadi kalian buka pake apa ?Team gorengan or team kurma ?,,,8.0,,5.0,['https://pbs.twimg.com/media/Ey74s-EVEAEq1l5?format=jpg&name=small'],https://twitter.com/HidayatHHP/status/1382315589587279877,kurma
Alka,@txtdarialka,2021-04-14T05:39:39.000Z,Jam segini liat kurma kayak kecoa,,,1.0,,,[],https://twitter.com/txtdarialka/status/1382206900247285765,kurma
FabulousMommy,@FebryMeuthia,2021-04-14T04:30:48.000Z,"Problem dgn kurma medjol, satu kurang, tiga kebanyakan",,,2.0,,,[],https://twitter.com/FebryMeuthia/status/1382189573002850305,kurma
Roy Pablo,@Kowalskuyyy,2021-04-14T21:13:27.000Z,Kurma buah apa bukan???,,,11.0,,2.0,[],https://twitter.com/Kowalskuyyy/status/1382441895905824769,kurma
